loan_id,loan_type,loan_amount,interest_rate
1,Mortgage,30581.69,5.71
2,Mortgage,10857.35,3.26
3,Auto,44240.09,4.57
4,Personal,2508.15,1.4
5,Mortgage,9061.43,4.28
6,Auto,37847.64,1.95
7,Student,46478.87,4.71
8,Personal,5554.9,2.59
9,Personal,39226.77,2.31
10,Personal,43643.11,4.26
11,Mortgage,28567.58,4.31
12,Student,22169.53,1.88
13,Personal,33504.8,1.41
14,Student,40149.55,3.59
15,Student,35902.47,3.99
16,Mortgage,5929.22,3.3
17,Mortgage,35363.79,3.62
18,Auto,30271.95,2.78
19,Student,27512.99,4.09
20,Auto,27005.99,4.02
21,Auto,22660.45,3.83
22,Mortgage,2447.42,4.32
23,Personal,23766.3,1.85
24,Student,13469.75,2.93
25,Personal,15903.6,1.54
26,Personal,14143.92,1.57
27,Mortgage,44054.76,4.79
28,Auto,11746.89,1.01
29,Student,8069.13,1.59
30,Auto,39651.58,1.78
31,Auto,30113.25,4.32
32,Auto,2697.43,4.58
33,Mortgage,36203.88,3.01
34,Student,38691.46,4.1
35,Personal,10989.13,2.35
36,Student,15910.07,4.62
37,Personal,46403.6,4.29
38,Mortgage,44391.46,4.74
39,Student,14426.2,3.4
40,Mortgage,32184.63,5.24
41,Mortgage,25588.08,4.19
42,Mortgage,20134.5,3.4
43,Auto,24595.4,2.08
44,Auto,11743.77,3.36
45,Mortgage,46226.96,5.49
46,Student,27970.55,1.37
47,Auto,9517.59,4.79
48,Mortgage,47881.62,4.96
49,Student,6291.11,3.35
50,Mortgage,47192.56,3.71
51,Auto,45679.03,2.73
52,Student,21187.62,1.37
53,Auto,36520.84,1.62
54,Student,48049.29,3.55
55,Student,1915.48,2.46
56,Student,21200.83,3.86
57,Personal,22540.59,2.89
58,Mortgage,47488.94,3.32
59,Auto,2170.61,1.07
60,Student,42307.31,4.16
61,Auto,49454.69,1.63
62,Student,26220.4,3.14
63,Mortgage,46101.3,3.43
64,Student,13119.29,1.51
65,Auto,13511.8,2.74
66,Mortgage,49934.4,4.4
67,Mortgage,18567.24,3.8
68,Personal,23364.86,2.29
69,Mortgage,16773.61,3.33
70,Mortgage,44225.48,4.22
71,Auto,31024.52,3.53
72,Mortgage,36769.53,3.78
73,Personal,13109.75,4.66
74,Personal,25843.41,4.71
75,Personal,13794.69,4.76
76,Auto,1878.83,1.29
77,Personal,26237.39,3.34
78,Student,43211.78,2.99
79,Personal,43964.88,4.73
80,Student,21453.08,1.78
81,Mortgage,22386.63,4.0
82,Mortgage,14363.27,4.16
83,Personal,24962.26,1.69
84,Personal,10708.54,4.93
85,Student,7991.23,1.01
86,Mortgage,11518.35,3.98
87,Auto,17775.0,2.3
88,Personal,44359.22,4.75
