location_id,address,city,state,country,postal_code
1,7580 Amber Motorway,Kevinberg,North Carolina,Saint Kitts and Nevis,40595
2,00322 Cody Crescent Suite 426,Lewishaven,Kansas,Argentina,25717
3,031 Allison Land Apt. 775,Morganview,Maryland,Liechtenstein,93008
4,416 Tammy Squares Suite 595,West Yolanda,Montana,Colombia,90591
5,52059 Aaron Orchard Apt. 184,West Jameston,Maryland,Ghana,27235
6,4300 Velazquez Ridge,Victorview,Vermont,Montserrat,10290
7,80820 Jennifer Corners Apt. 795,Sandersmouth,Arkansas,Colombia,74477
8,0622 Cameron Isle Apt. 943,Baileyberg,Virginia,Netherlands,55678
9,68681 Javier Place,Mariohaven,Tennessee,Timor-Leste,86868
10,4518 Karen Rapid,Zacharyview,Minnesota,Albania,54620
11,7784 Tina Cliffs,Jenniferbury,Hawaii,New Zealand,01633
12,32412 Thomas Lane,New Jennifer,Utah,Portugal,18588
13,6934 Alyssa Fork,Coleland,Texas,Norfolk Island,26629
14,38284 Rebecca Cove Suite 787,Port Emilystad,Montana,San Marino,38954
15,529 Robert Plaza Suite 189,Wilkinsfurt,South Carolina,South Africa,74296
16,79610 Bryant Extensions,Muellerton,Kentucky,Norway,66572
17,4910 Peterson Plains Suite 524,West Brian,Rhode Island,India,09613
18,05975 Timothy Pine Apt. 308,North Josephfurt,Illinois,Papua New Guinea,76909
19,415 Christopher Keys,Lake Joel,Pennsylvania,Romania,48018
20,3329 Brandon Valley Apt. 351,South Andrewmouth,Michigan,Bhutan,88881
21,29224 Gregory Road Apt. 161,Port Melanieton,Illinois,Saint Lucia,62798
22,57382 Theresa Street,West Denisetown,Hawaii,Djibouti,77076
23,81913 Jamie Curve Apt. 642,Hallstad,Connecticut,Niue,37437
24,6345 Chaney Village,Alvaradoborough,New Hampshire,United States Minor Outlying Islands,56385
25,983 Anthony Loaf Suite 283,Pattersonbury,North Dakota,Grenada,38956
26,172 Butler Crest Suite 642,North Chadmouth,Virginia,Brazil,07955
27,94634 Angelica Estates,Angelaborough,Ohio,Jersey,20761
28,502 Hailey Tunnel,East Lisa,Georgia,Djibouti,08259
29,164 Peterson Roads Suite 499,Chadside,Maine,Paraguay,82344
30,339 Mary Falls,Peterstown,New Jersey,Dominica,09303
31,369 Smith Unions Apt. 676,South Sabrina,Vermont,Canada,23626
32,1144 Terrell Locks Apt. 492,Wilsonland,Ohio,Guatemala,95345
33,464 Kristen Cove,Gregoryfort,Rhode Island,Somalia,58285
34,0062 Martin Roads Suite 199,South Donnaland,South Carolina,Germany,78866
35,56422 Parker Valley Apt. 560,Lopezton,Texas,Slovenia,53189
36,89479 Duarte Mount Apt. 421,Dianaburgh,Alaska,Malaysia,55217
37,32183 Maldonado Hill Suite 830,Lake Johnland,Arizona,Portugal,26056
38,6595 Holmes Crossing Apt. 067,Lake Christinaberg,Tennessee,Mayotte,20663
39,3610 David Villages,Bretttown,Michigan,Austria,05853
40,5611 Ashley Plain,Zhangtown,Alabama,Burkina Faso,60261
41,03305 Mario Well Apt. 488,New Maryhaven,Kansas,Norfolk Island,70240
42,4891 Williams Trail,Lake Barrymouth,Pennsylvania,Brazil,33048
