interaction_id,date_id,account_id,channel_id,interaction_type,interaction_rating
1,56,27024,4,Branch Visit,3
2,157,21824,2,Support Call,5
3,44,5514,5,Support Call,2
4,191,12107,1,Branch Visit,5
5,60,13728,3,Support Call,1
6,78,20063,5,Branch Visit,4
7,206,8999,2,Online Query,1
8,340,17414,5,Support Call,4
9,84,4641,3,Branch Visit,1
10,172,27568,4,Online Query,2
11,328,27827,3,ATM Transaction,2
12,36,3870,5,Branch Visit,4
13,75,14149,2,Support Call,1
14,259,15613,4,Online Query,3
15,315,2972,1,Online Query,1
16,37,29257,3,Branch Visit,2
17,136,24298,2,ATM Transaction,1
18,356,15745,3,Branch Visit,1
19,188,19680,2,Branch Visit,2
20,348,25375,1,Online Query,5
21,106,27413,3,ATM Transaction,1
22,171,14803,2,Branch Visit,5
23,245,17043,3,Online Query,3
24,218,6677,3,Support Call,2
25,322,19734,1,ATM Transaction,4
26,333,27665,3,Branch Visit,4
27,322,21193,1,Support Call,3
28,255,26109,1,Online Query,2
29,343,27860,5,Support Call,1
30,246,6422,3,ATM Transaction,4
31,8,18838,4,ATM Transaction,3
32,138,27631,4,ATM Transaction,3
33,105,4668,1,Branch Visit,4
34,282,15079,3,ATM Transaction,4
35,215,12873,1,Branch Visit,1
36,273,6547,4,Branch Visit,3
37,263,9021,3,ATM Transaction,3
38,13,14032,1,Online Query,3
39,264,6265,5,ATM Transaction,2
40,133,22228,1,Branch Visit,4
41,228,27670,1,ATM Transaction,5
42,28,26226,4,ATM Transaction,4
43,45,6493,3,ATM Transaction,2
44,189,15489,4,Support Call,1
45,90,25217,3,Branch Visit,5
46,193,19176,5,ATM Transaction,3
47,69,8167,4,Online Query,2
48,94,15349,3,ATM Transaction,2
49,160,22129,5,Support Call,4
50,73,24509,4,Branch Visit,3
51,206,4179,1,Online Query,3
52,296,18490,2,Branch Visit,4
53,260,23638,2,Support Call,2
54,119,8297,1,ATM Transaction,4
55,170,19903,3,Branch Visit,4
56,210,24353,2,Branch Visit,3
57,54,19606,4,ATM Transaction,3
58,235,16486,2,Online Query,3
59,24,801,3,Support Call,1
60,330,18942,3,Support Call,4
61,206,24783,3,Branch Visit,2
62,163,26521,5,Branch Visit,5
63,119,2075,5,Online Query,4
64,297,24725,5,Branch Visit,3
65,40,9381,3,Branch Visit,5
66,16,18793,2,Branch Visit,1
67,264,16655,3,Support Call,4
68,259,24501,5,Online Query,1
69,116,24107,1,ATM Transaction,5
70,22,21239,1,Online Query,4
71,364,24078,3,ATM Transaction,1
72,50,24264,1,Support Call,1
73,353,9700,2,Support Call,1
74,223,12032,3,Support Call,4
75,287,11382,1,Branch Visit,5
76,18,26829,4,ATM Transaction,4
77,5,12474,2,Branch Visit,4
78,357,29547,4,Online Query,4
79,225,19191,4,Online Query,1
80,6,4534,3,Online Query,1
81,229,13225,2,Support Call,2
82,16,2093,1,ATM Transaction,5
83,273,29806,3,Online Query,5
84,218,4486,2,Branch Visit,5
85,326,16183,4,Support Call,2
86,263,3723,2,Support Call,5
87,224,1889,3,Online Query,5
88,158,13556,1,Branch Visit,4
89,13,20404,1,Branch Visit,2
90,19,24063,4,Support Call,3
91,227,18789,3,ATM Transaction,3
92,361,22994,4,Online Query,3
93,228,11736,2,Support Call,2
94,191,4527,2,Online Query,1
95,84,14240,1,ATM Transaction,1
96,269,23754,2,Support Call,1
97,288,24741,1,ATM Transaction,1
98,305,9951,3,ATM Transaction,4
99,163,12420,2,Support Call,3
100,167,11152,4,Online Query,2
101,318,8682,3,Branch Visit,2
102,135,20820,1,Online Query,4
103,217,16859,5,Online Query,3
104,17,17382,5,Branch Visit,2
105,19,17682,4,Online Query,1
106,299,18854,5,Branch Visit,1
107,270,7049,1,Online Query,2
108,321,5080,5,Branch Visit,2
109,348,11535,3,ATM Transaction,5
110,217,5606,4,Branch Visit,2
111,286,2053,5,Online Query,3
112,53,28023,4,Support Call,4
113,251,11390,1,Online Query,1
114,233,11725,1,ATM Transaction,5
115,91,14999,5,Online Query,3
116,165,5619,3,Branch Visit,1
117,274,15866,2,Support Call,2
118,171,2737,3,Online Query,4
119,239,12325,1,ATM Transaction,5
120,315,29011,5,Support Call,5
121,49,27136,5,Branch Visit,1
122,41,2788,1,Online Query,1
123,348,13622,3,Support Call,4
124,51,21991,3,Branch Visit,5
125,321,11612,5,Branch Visit,2
126,340,22940,4,Support Call,4
127,88,15931,4,Online Query,4
128,19,20310,3,Support Call,1
129,153,10620,1,Support Call,5
130,104,26603,5,Support Call,4
131,295,23791,3,ATM Transaction,1
132,59,218,3,Online Query,5
133,232,20655,1,ATM Transaction,5
134,53,14466,3,Support Call,4
135,25,4115,2,Branch Visit,1
136,154,17875,2,Support Call,5
137,45,11073,4,ATM Transaction,2
138,150,9934,3,Online Query,2
139,224,10154,1,Support Call,3
140,225,23450,2,Support Call,5
141,201,24893,4,Online Query,1
142,275,20391,4,Support Call,5
143,43,6450,1,Online Query,5
144,281,18652,4,Online Query,1
145,327,13285,5,Branch Visit,1
146,205,25328,1,Support Call,5
147,113,2281,3,ATM Transaction,5
148,272,21734,2,ATM Transaction,3
149,25,26530,2,Support Call,2
150,204,5348,3,Branch Visit,3
151,350,3735,2,Online Query,5
152,55,16483,4,Online Query,1
153,136,22273,2,Online Query,5
154,171,9771,2,Online Query,5
155,16,546,1,ATM Transaction,3
156,16,12688,2,Support Call,4
157,197,17532,3,Online Query,1
158,218,10349,2,Online Query,3
159,15,3441,3,Support Call,4
160,18,3075,4,ATM Transaction,1
161,303,26407,1,Branch Visit,3
162,295,23838,3,ATM Transaction,2
163,258,22201,3,Branch Visit,4
164,312,23068,4,Support Call,4
165,312,6527,5,ATM Transaction,1
166,223,22172,2,Branch Visit,1
167,212,8559,5,Branch Visit,1
168,11,21338,4,Support Call,3
169,227,3720,1,Online Query,4
170,360,24158,4,Branch Visit,3
171,32,15510,5,Support Call,3
172,211,614,1,Branch Visit,3
173,106,3082,2,ATM Transaction,2
174,171,17124,5,Support Call,4
175,197,15280,5,ATM Transaction,3
176,54,18514,3,Online Query,2
177,280,8160,5,Online Query,4
178,48,10062,5,Online Query,1
179,288,9161,5,ATM Transaction,2
180,220,18373,2,ATM Transaction,2
181,251,8356,2,Support Call,1
182,100,10202,5,Branch Visit,3
183,296,13825,5,Support Call,4
184,35,15221,4,ATM Transaction,3
185,13,6645,2,Support Call,2
186,327,3040,2,Online Query,5
187,78,1870,1,Support Call,1
188,299,22414,1,ATM Transaction,5
189,30,23878,4,Branch Visit,1
190,233,13102,2,Branch Visit,4
191,129,23218,5,Support Call,5
192,202,6410,1,Online Query,5
193,249,22178,4,Support Call,2
194,210,182,1,ATM Transaction,5
195,67,10922,5,Online Query,5
196,58,23690,2,Branch Visit,4
197,35,25853,2,Support Call,1
