balance_id,date_id,account_id,opening_balance,closing_balance,average_balance
1,99,28027,2593.77,326.03,1459.9
2,40,21627,1407.37,1365.2,1386.28
3,197,22723,3248.91,2204.41,2726.66
4,282,27460,2067.59,2480.9,2274.24
5,135,11608,3452.85,2135.99,2794.42
6,158,22307,1148.27,1258.42,1203.35
7,247,18197,1508.24,1290.4,1399.32
8,39,8615,3399.72,232.8,1816.26
9,104,13211,3105.95,3190.42,3148.18
10,143,546,3819.37,3400.39,3609.88
11,117,420,2274.36,3233.0,2753.68
12,50,4031,3568.27,1116.42,2342.35
13,172,4103,231.01,2370.47,1300.74
14,194,5681,527.98,215.03,371.5
15,194,24132,1275.12,337.27,806.19
16,147,15947,1493.6,1678.34,1585.97
17,76,17137,2650.05,3330.6,2990.32
18,173,25875,622.49,120.18,371.34
19,137,15353,2619.41,1204.46,1911.93
20,218,485,1936.35,1627.51,1781.93
21,293,11289,689.3,2180.46,1434.88
22,115,15976,392.93,2104.2,1248.56
23,283,10133,1541.1,3531.49,2536.3
24,209,24330,1402.22,1352.04,1377.13
25,98,5454,3680.85,2472.03,3076.44
26,207,16635,5209.49,1335.02,3272.26
27,107,3048,2442.15,2110.97,2276.56
28,213,10503,3320.67,2042.71,2681.69
29,352,708,1540.7,4633.62,3087.16
30,86,26374,4824.21,1041.78,2932.99
31,147,5133,2547.14,6149.05,4348.1
32,241,13729,3008.58,680.98,1844.78
33,329,25851,2293.0,4189.49,3241.24
34,33,11637,1293.43,210.09,751.76
35,124,4107,657.57,2272.58,1465.08
36,326,10681,4442.85,1825.3,3134.08
37,27,22752,1962.74,1201.4,1582.07
38,293,5844,600.99,186.39,393.69
39,174,5280,2139.19,1724.88,1932.04
40,360,29161,439.14,2049.9,1244.52
41,111,21126,3226.54,1079.15,2152.85
42,308,22164,399.25,1947.25,1173.25
43,329,12227,2126.51,811.55,1469.03
44,58,27198,2389.14,2985.35,2687.24
45,344,24345,1081.86,4116.67,2599.26
46,311,7802,2979.88,2792.27,2886.07
47,6,6222,1301.1,399.61,850.36
48,147,10159,971.62,1206.47,1089.05
49,171,10629,4017.18,1571.84,2794.51
50,128,12493,918.09,3307.52,2112.8
51,25,9457,817.79,464.33,641.06
52,114,19363,3571.82,2246.36,2909.09
53,26,24049,1118.57,3161.35,2139.96
54,125,6040,3413.66,4827.14,4120.4
55,23,17493,1108.49,2350.57,1729.53
56,319,21217,3486.78,2154.17,2820.48
57,244,12879,2308.36,4551.81,3430.09
58,289,10609,3248.65,3345.96,3297.31
59,265,6810,1657.07,3329.24,2493.15
60,262,6043,1938.22,3404.66,2671.44
61,39,9146,5381.89,578.17,2980.03
62,13,20290,1658.4,320.71,989.56
63,362,22410,2820.87,101.45,1461.16
64,196,1919,623.97,1880.32,1252.14
65,196,9719,1651.92,3229.2,2440.56
66,257,8173,2270.61,3323.36,2796.99
67,209,14027,2937.32,405.72,1671.52
68,45,14726,3290.48,2863.94,3077.21
69,122,13541,2899.74,3164.09,3031.91
70,303,16010,791.82,3695.29,2243.55
71,117,5063,2440.05,412.71,1426.38
72,14,19013,1417.99,1002.15,1210.07
73,349,29389,290.74,3537.18,1913.96
74,59,3416,1562.95,2035.63,1799.29
75,139,11351,2570.34,3437.18,3003.76
76,315,13959,1835.58,1793.76,1814.67
77,317,92,662.58,1010.75,836.66
78,355,22387,3297.34,913.15,2105.24
79,97,29589,5461.78,579.09,3020.43
80,103,29402,2732.18,463.57,1597.88
81,63,28680,3736.94,2533.43,3135.18
82,335,26359,4226.91,2562.97,3394.94
83,42,3795,2773.99,1843.81,2308.9
84,51,19035,1425.69,3663.16,2544.43
85,309,23305,3949.82,3923.76,3936.79
86,40,26528,3029.23,115.85,1572.54
87,305,12712,2458.86,3143.03,2800.95
88,249,1741,655.84,86.56,371.2
89,321,9610,1673.15,2047.61,1860.38
90,83,12954,519.95,922.66,721.31
91,230,18952,2953.35,2417.18,2685.26
92,152,4814,3143.09,873.32,2008.21
93,262,11132,3069.88,2145.49,2607.68
94,163,12268,3039.54,1973.56,2506.55
95,211,19805,1884.69,2501.69,2193.19
96,139,14854,1176.67,3651.95,2414.31
97,14,1076,508.6,1460.64,984.62
98,350,27947,3541.45,3210.22,3375.84
99,35,2913,3347.24,1587.73,2467.48
100,99,10561,4005.55,2048.76,3027.16
101,152,27211,2356.95,796.5,1576.72
102,227,22802,1271.46,178.8,725.13
103,239,17347,2302.78,321.59,1312.19
104,95,7568,2882.55,1717.81,2300.18
105,160,10705,2507.39,75.46,1291.42
106,6,12853,894.44,3321.44,2107.94
107,286,21989,1816.96,707.56,1262.26
108,116,10405,1981.73,4495.78,3238.76
109,120,20528,3249.1,2566.23,2907.66
110,314,10474,2611.39,483.69,1547.54
111,287,27090,2126.25,1309.82,1718.03
112,214,29038,1602.49,1573.01,1587.75
113,293,11453,2198.36,3833.63,3015.99
114,308,2736,1811.1,3507.08,2659.09
