investment_id,date_id,investment_type_id,account_id,amount_invested,investment_return
1,214,1,10904,7189.88,923.66
2,352,3,6022,2703.56,992.07
3,344,4,3514,8089.49,956.13
4,285,11,29993,4561.76,
5,61,6,21183,9311.76,
6,136,2,7044,3645.27,
7,227,8,21676,2468.96,
8,225,14,11544,6488.58,
9,105,1,11608,4682.99,
10,257,1,2499,3218.76,780.57
11,337,12,611,4526.7,469.97
12,352,9,25478,5061.41,
13,217,3,28783,3201.56,
14,24,15,8164,2301.59,522.88
15,217,5,9459,9796.78,650.41
16,213,9,25838,4045.53,
17,184,7,8138,5565.46,
18,117,4,9213,5088.59,273.95
19,159,4,11197,4744.12,
20,338,15,28626,715.26,
21,210,2,28173,828.51,
22,189,4,3251,5932.01,924.37
23,361,8,3182,2306.76,
24,121,14,13797,379.21,
25,140,9,5698,8634.53,
26,258,6,11449,7781.72,983.12
27,132,6,28215,9515.9,926.25
28,192,4,21545,9609.12,923.68
29,166,3,4930,8708.76,426.48
30,26,1,29398,8960.46,429.44
31,307,10,28002,661.38,743.2
32,303,15,29477,136.71,303.8
33,107,8,671,8561.56,15.61
34,9,6,27273,8470.84,280.83
35,207,3,12268,5335.17,281.81
36,85,2,3050,3940.04,85.57
37,209,7,29082,9763.72,734.85
38,78,9,12300,4111.96,199.38
39,182,2,27436,1628.76,352.65
40,6,11,29914,4312.59,609.4
41,51,15,15065,5356.55,
42,196,8,3509,9714.42,51.92
43,74,11,9749,9282.94,528.37
44,352,11,16409,1644.12,
45,76,10,5507,4073.98,952.78
46,80,8,3387,395.13,459.99
47,44,4,27797,9918.71,
48,34,6,19776,6586.38,555.8
49,357,1,7760,6955.05,645.49
50,312,1,17927,6962.39,
51,300,15,15401,1935.22,162.26
52,227,6,16101,6756.48,582.55
53,257,1,21998,6168.22,
54,159,11,24393,8960.6,
55,287,4,14118,175.32,34.91
56,54,2,5167,9871.92,624.79
57,164,14,21799,8828.03,
58,110,13,974,5359.95,844.22
59,298,15,12201,3206.58,
60,361,11,2518,2207.3,170.19
61,155,8,24851,6055.92,
62,43,1,1205,1140.21,
63,101,7,2297,4727.72,351.81
64,313,6,29297,9826.13,194.05
65,124,11,9219,4573.31,
66,315,2,18032,1149.47,
67,259,1,8019,9007.36,
68,66,8,3125,8598.34,
69,138,1,2485,6336.52,999.68
70,103,15,5445,7165.46,382.43
71,44,10,20869,5602.97,
72,209,7,23956,3004.0,
73,215,8,22227,1415.57,818.94
74,136,5,857,7708.63,3.04
75,178,14,9492,1103.54,706.33
76,90,12,22981,8846.54,586.93
77,259,5,8727,8244.88,237.69
78,177,2,6121,3622.14,
79,322,14,15828,8553.78,
80,120,15,6496,3421.94,112.34
81,114,15,12447,5094.76,
82,10,11,5989,6484.99,
83,49,7,20063,5190.97,243.07
84,220,9,7964,9905.19,400.3
85,25,14,27206,5515.97,
86,315,14,28477,3698.02,552.67
87,116,6,6839,2506.28,
88,224,12,9857,136.69,
89,3,2,7401,5444.09,375.43
90,243,11,2710,6708.52,235.14
91,106,15,1003,1063.11,
92,117,11,11727,7257.11,483.01
93,24,5,26021,5494.35,972.35
94,21,9,5891,3101.5,
95,121,4,23796,3961.41,
96,128,1,19206,5264.12,
97,131,6,25439,7236.16,417.26
98,221,5,25016,212.69,686.97
99,24,1,16894,9843.59,
100,163,8,29760,9001.25,
101,348,3,343,3158.67,738.89
102,315,8,3671,261.8,
103,337,13,22868,5560.08,
104,222,15,5009,9055.59,
105,325,8,25841,1023.71,658.25
106,99,9,182,5683.82,
107,79,1,14647,5051.53,
108,176,13,22672,3839.06,874.59
109,241,7,22907,8551.74,292.73
110,67,2,4164,880.5,46.51
111,48,12,6702,4411.76,694.24
112,4,5,11762,4025.81,
113,130,10,15393,9195.5,
114,227,5,13295,6546.71,
115,305,3,29137,8658.99,
116,207,8,26575,4258.19,488.48
117,276,10,19645,7403.97,495.29
118,283,10,1111,1687.52,707.94
119,117,10,27794,7826.28,203.94
120,194,6,12308,6352.07,381.54
121,84,3,17907,9180.59,926.02
122,299,7,6478,7231.76,956.1
123,249,3,10153,817.53,
124,121,5,3723,6829.04,
125,282,13,19409,1927.44,
126,117,10,25775,1605.8,
127,125,10,16502,9789.4,
128,324,10,20099,6159.3,323.53
129,191,1,6398,549.65,991.08
130,84,6,10802,2515.5,
131,140,6,3764,5055.79,871.32
132,242,7,19473,6422.29,
133,64,8,22524,9259.33,
134,298,3,13560,6899.96,643.37
135,227,3,1321,7038.89,
136,145,4,5443,562.96,
137,89,11,19978,4218.9,532.22
138,299,1,10873,9397.35,464.1
139,173,9,28587,6994.2,
