payment_id,date_id,loan_id,customer_id,payment_amount,payment_status
1,25,595,29941,984.18,Pending
2,232,25969,11382,210.04,Pending
3,342,24891,11677,107.36,Paid
4,119,15707,3448,691.76,Pending
5,224,17611,21784,508.42,Paid
6,108,1406,28125,427.59,Paid
7,321,11837,18944,298.93,Paid
8,160,28803,21615,555.99,Pending
9,104,11166,17571,482.92,Paid
10,62,15224,16052,745.61,Paid
11,292,16335,27465,958.16,Paid
12,146,20377,11465,251.16,Paid
13,188,12564,27679,596.33,Paid
14,110,21223,3970,600.79,Paid
15,330,12299,22207,890.56,Pending
16,284,9192,2467,665.04,Paid
17,191,10940,4469,650.73,Pending
18,109,16570,22926,383.22,Paid
19,64,18950,14296,530.07,Pending
20,211,9129,5695,231.04,Pending
21,58,873,11114,745.47,Paid
22,166,28995,20793,703.02,Pending
23,312,12323,25000,841.31,Pending
24,90,2693,20709,470.25,Paid
25,329,5376,23019,720.07,Paid
26,196,2598,29391,664.78,Pending
27,40,22907,28154,696.63,Pending
28,67,17221,10248,238.61,Paid
29,44,17004,25629,610.21,Pending
30,111,14281,9305,444.31,Paid
31,163,20345,23683,867.15,Paid
32,236,4438,26129,558.62,Paid
33,346,20712,2584,566.15,Pending
34,293,17523,4741,910.86,Pending
35,220,26046,1025,988.38,Pending
36,324,5880,6977,837.48,Pending
37,189,4343,23974,688.19,Pending
38,225,17602,3439,780.37,Paid
39,150,10531,20637,458.17,Pending
40,74,1174,28247,816.97,Pending
41,363,8382,27531,604.82,Paid
42,344,2182,26750,816.1,Paid
43,66,5009,10309,435.26,Pending
44,186,25502,3113,581.98,Pending
45,247,6665,1453,473.67,Paid
46,82,12615,2380,285.03,Paid
47,336,25240,11906,339.68,Pending
48,239,24798,10050,876.69,Pending
49,212,4492,23981,463.72,Paid
50,266,28192,602,269.06,Pending
51,110,13142,7491,256.14,Paid
52,166,27328,8975,170.53,Pending
53,87,8721,24666,521.32,Pending
54,145,19945,1012,980.76,Paid
55,12,407,27854,533.32,Paid
56,311,28161,23873,326.78,Paid
57,43,20363,21674,805.02,Pending
58,268,14616,10660,822.83,Paid
59,179,7079,2382,964.51,Paid
60,19,16934,19037,354.08,Paid
61,88,359,9358,239.8,Paid
62,356,5662,23561,899.05,Pending
63,216,22859,15563,375.61,Paid
64,279,7414,726,305.64,Paid
65,141,8123,14719,890.98,Pending
66,200,4432,29541,815.71,Paid
67,169,17562,28108,484.86,Paid
68,162,28017,26098,958.46,Pending
69,194,28069,17318,289.23,Paid
70,188,4268,18810,730.72,Paid
71,283,11034,3641,170.51,Paid
72,245,19426,3123,690.1,Paid
73,6,11087,24550,164.44,Pending
74,32,13211,27402,351.58,Pending
75,203,19347,7582,390.2,Paid
76,354,7305,476,800.31,Paid
77,271,3206,27515,548.76,Pending
78,238,17477,8692,897.19,Pending
79,122,12881,26211,925.45,Paid
80,161,18748,22018,174.78,Pending
81,235,21951,17794,433.49,Paid
82,269,2878,17574,696.26,Paid
83,162,19257,14137,213.68,Pending
84,128,6346,15424,572.46,Paid
85,334,14867,18752,453.91,Pending
86,151,21940,13159,669.64,Paid
87,199,16752,14973,288.36,Pending
88,137,24339,23575,431.34,Paid
89,302,3209,748,874.6,Pending
90,28,13132,15005,504.79,Pending
91,319,7863,6448,864.68,Paid
92,116,1263,8098,171.5,Pending
93,54,28672,6627,349.65,Pending
94,13,13474,12844,248.19,Pending
95,137,5856,166,733.65,Paid
96,45,22017,17491,368.17,Pending
97,180,15989,13435,767.25,Pending
98,35,24825,18682,470.93,Paid
99,142,11978,29376,554.61,Pending
100,52,21714,18273,984.49,Paid
101,303,29042,25531,927.63,Pending
102,284,19741,7230,957.37,Paid
103,15,21923,18316,215.08,Paid
104,358,12980,1276,418.85,Paid
105,200,1714,7547,783.05,Paid
106,339,284,25715,300.5,Paid
107,341,27113,23214,930.59,Paid
108,285,16794,15608,610.3,Pending
109,26,13624,20904,448.33,Pending
110,32,21953,27053,731.49,Pending
111,50,15888,28052,821.12,Paid
112,176,5060,6380,775.27,Paid
113,224,9172,22662,133.96,Pending
114,14,23202,17188,888.28,Pending
115,124,16400,21141,374.91,Paid
116,14,26750,3608,215.03,Pending
117,65,24842,19702,665.53,Paid
118,103,20227,271,547.92,Pending
119,76,25964,20661,661.57,Paid
120,242,4474,29888,198.79,Pending
121,115,14585,4648,877.57,Pending
122,114,24649,9465,448.09,Paid
123,58,5378,5173,424.1,Pending
124,130,17447,18839,285.47,Paid
125,261,2200,11283,432.29,Pending
126,264,17836,21451,234.31,Paid
127,129,9600,9054,547.9,Paid
128,51,14037,15130,818.97,Paid
129,107,10005,12002,649.58,Paid
130,78,17036,16268,486.95,Pending
131,294,1747,11557,279.16,Pending
132,132,22718,5805,468.11,Paid
133,59,26127,16830,733.46,Paid
134,70,5061,8634,174.1,Pending
135,320,2011,19998,624.83,Pending
136,187,7140,19324,244.82,Pending
137,129,5297,28692,828.76,Paid
138,294,2467,6253,790.34,Paid
139,336,3968,9025,933.38,Pending
140,38,12699,567,302.35,Pending
141,249,25675,8216,459.02,Paid
142,151,929,1759,916.62,Pending
143,223,10694,17032,275.78,Paid
144,307,12736,12911,236.73,Pending
145,145,6159,6502,544.75,Paid
146,245,2744,24533,313.64,Paid
147,142,11134,3375,410.89,Pending
148,26,14696,9863,361.4,Paid
149,107,12016,11321,677.06,Pending
150,70,18119,1799,900.35,Pending
151,152,6472,17283,104.11,Pending
152,180,22132,28653,424.51,Paid
153,272,3084,13359,553.82,Paid
154,110,11391,17414,315.7,Paid
155,85,29004,27612,210.2,Pending
156,152,23706,20003,816.25,Pending
157,132,4605,29686,323.99,Paid
158,18,8472,22797,321.93,Paid
159,46,23329,18721,193.91,Paid
160,236,7194,9033,104.7,Paid
161,295,2157,3898,444.41,Paid
162,70,26929,18153,283.1,Pending
163,194,24837,23410,229.04,Pending
164,7,12885,28926,459.57,Pending
165,50,12513,3622,690.36,Paid
166,45,28959,24278,175.24,Paid
167,231,22006,21050,775.22,Pending
168,192,28529,3336,386.39,Paid
169,360,21577,2360,514.33,Pending
170,292,25761,401,137.77,Paid
171,288,27233,25395,200.21,Paid
172,43,23111,29331,514.5,Paid
173,15,8895,2026,680.86,Paid
174,167,16904,20259,891.96,Pending
175,36,22891,22797,953.98,Paid
176,53,15657,336,631.86,Pending
177,254,4374,18223,377.88,Pending
178,298,5115,16888,276.71,Paid
179,11,2225,9052,786.08,Paid
180,286,533,19810,630.81,Pending
181,106,18580,13426,995.57,Pending
182,77,10078,16480,678.71,Paid
183,50,26047,5078,231.25,Paid
184,161,2810,19646,101.41,Paid
185,185,2547,25259,325.77,Pending
186,96,26656,26256,736.38,Paid
187,117,8532,27483,717.43,Pending
188,156,7163,16608,953.56,Paid
189,354,14035,13020,938.41,Paid
190,300,16383,20507,646.41,Pending
191,119,15392,10278,520.76,Paid
192,163,28054,16408,300.09,Paid
193,141,26855,2170,890.29,Paid
194,260,9084,28379,249.14,Paid
195,311,15440,13819,556.31,Pending
196,26,1972,22315,419.63,Pending
197,189,14854,22077,408.11,Paid
198,115,9472,7218,467.03,Pending
199,23,13246,5851,806.22,Paid
200,195,587,19982,908.85,Pending
201,311,2387,24528,407.74,Paid
202,319,13500,4955,566.43,Paid
203,54,24836,24156,883.74,Pending
204,283,2925,18906,246.27,Paid
205,301,14308,2484,728.88,Paid
206,350,16716,15117,528.3,Pending
207,193,11815,23733,640.27,Pending
208,60,5713,18785,815.9,Paid
209,324,25258,1335,746.1,Paid
210,227,29539,25510,326.72,Pending
211,152,5163,11636,621.6,Pending
212,98,11221,10724,549.39,Pending
213,260,24149,17992,194.8,Pending
214,216,687,27405,575.96,Paid
215,163,11093,6497,946.39,Paid
216,162,2293,6019,683.77,Paid
217,13,1850,11909,588.79,Pending
218,130,23155,1296,396.24,Paid
219,108,22869,3155,600.59,Paid
220,107,26762,22474,380.19,Paid
221,319,22539,4221,500.81,Pending
222,113,24377,22703,542.21,Pending
223,7,21014,9498,445.08,Paid
224,153,4424,23812,137.93,Paid
225,276,16448,18531,492.1,Paid
226,131,8128,8157,390.92,Paid
227,299,9963,18113,226.57,Pending
228,58,7093,3952,904.03,Pending
229,13,12158,9845,142.49,Paid
230,343,22847,9620,898.62,Paid
231,360,5460,21191,924.78,Paid
232,242,12481,6398,428.85,Paid
233,156,20232,16440,423.28,Pending
234,172,10956,24178,850.08,Paid
235,352,25846,9237,657.81,Pending
236,312,19893,8561,647.45,Pending
237,12,7536,7850,311.27,Paid
238,65,24686,29389,191.12,Paid
239,329,7631,8557,249.44,Pending
240,274,29899,4280,306.56,Pending
241,120,6603,29152,169.35,Pending
242,149,10465,26606,179.14,Paid
243,142,7670,21029,482.61,Paid
244,308,14382,25408,478.47,Paid
245,73,24940,26798,203.4,Pending
246,343,6357,3314,151.2,Paid
247,54,1233,28784,139.0,Pending
248,292,14417,6043,186.77,Pending
249,67,5677,26588,342.72,Pending
250,206,16755,21767,472.42,Paid
251,193,9033,24758,728.41,Pending
252,226,4493,27513,906.15,Pending
253,338,20182,27010,458.97,Pending
254,243,20329,23278,361.83,Paid
255,192,27088,25652,834.6,Pending
256,317,22433,26733,350.95,Paid
257,36,23722,29578,958.77,Paid
258,43,22111,13129,792.05,Pending
259,132,4687,13206,662.03,Paid
260,50,4386,17516,112.85,Paid
261,281,12363,15042,401.14,Pending
262,5,28059,2837,331.73,Paid
263,51,4538,10497,615.82,Paid
264,178,20711,23590,307.33,Paid
265,279,20217,5951,780.47,Paid
266,107,21662,16688,179.86,Pending
267,74,18227,11128,772.68,Paid
268,80,148,16911,919.96,Paid
269,145,7801,12078,888.17,Pending
270,157,6785,19836,734.61,Pending
271,206,1491,11070,934.49,Pending
272,58,14155,7786,338.37,Pending
273,97,20821,10211,429.78,Pending
274,233,3274,27933,930.71,Pending
275,208,2667,18570,150.63,Pending
276,273,22596,4053,364.12,Pending
277,353,9479,25122,678.1,Pending
278,139,188,4130,927.33,Pending
279,272,26566,1667,985.53,Pending
280,76,8,18487,487.68,Pending
281,271,14059,15267,923.85,Paid
282,337,15205,23468,173.61,Paid
283,325,20754,12139,478.39,Pending
284,253,13914,14176,782.92,Pending
285,235,21869,22537,364.79,Paid
286,47,26443,14259,396.68,Paid
287,315,20231,3177,397.59,Pending
288,199,28156,2943,189.97,Paid
289,168,27237,16824,617.72,Pending
290,338,8610,3207,694.42,Pending
291,120,14006,7422,838.98,Pending
292,309,13217,13775,716.73,Paid
293,231,23818,2765,576.27,Pending
294,257,25097,28223,476.72,Pending
295,244,3408,16381,232.46,Paid
296,62,24116,15077,254.38,Pending
297,79,4313,24724,936.97,Pending
298,360,9938,14840,343.69,Paid
299,118,22147,8982,632.56,Paid
300,154,24832,24186,603.42,Pending
301,333,5186,27345,218.34,Pending
302,70,390,8709,962.01,Pending
303,338,7381,20458,424.39,Pending
304,274,3880,29099,280.51,Paid
305,30,28145,6659,752.26,Pending
306,12,443,11357,786.67,Pending
307,109,24033,10924,272.06,Paid
308,230,27698,11054,284.57,Paid
309,40,20920,3551,344.95,Paid
310,270,27629,6956,499.13,Paid
311,363,7288,17389,580.94,Paid
312,322,19477,25171,784.38,Paid
313,243,16456,25082,847.82,Pending
314,349,9327,9418,316.0,Pending
315,334,8789,18886,642.79,Paid
316,68,14981,10093,126.22,Paid
317,154,26568,20154,540.21,Paid
318,15,17086,24987,238.0,Paid
319,183,15642,293,611.88,Pending
320,153,15087,5836,904.42,Pending
321,150,271,9419,977.41,Pending
322,298,21423,23826,348.73,Pending
323,121,23359,11456,538.52,Paid
324,216,20471,5074,819.78,Paid
325,12,16692,14650,894.29,Pending
326,73,5487,28855,868.02,Pending
327,78,24695,21917,428.26,Paid
328,299,15576,5155,282.12,Paid
329,179,26090,17919,261.09,Paid
330,66,14174,7214,686.62,Paid
331,314,7918,26133,403.94,Pending
332,359,16476,5469,100.35,Pending
333,303,13913,7955,805.86,Paid
334,201,27496,8264,204.32,Paid
335,56,709,11672,137.3,Pending
336,101,9206,1137,660.4,Paid
337,97,3351,2492,853.98,Paid
338,236,2741,2827,764.87,Paid
339,73,16583,12324,386.74,Paid
340,34,20521,21186,823.79,Pending
341,10,6784,13296,418.25,Paid
342,321,11869,15770,689.37,Paid
343,257,13559,28419,190.9,Paid
344,305,25337,20280,379.21,Pending
345,341,5169,13905,774.42,Paid
346,49,28608,6622,828.04,Pending
347,158,23460,13146,825.9,Paid
348,298,9909,15444,852.1,Pending
349,139,17209,15439,192.62,Pending
350,91,26560,22637,328.69,Paid
351,81,25360,5345,175.78,Paid
352,94,11534,4415,996.94,Pending
353,136,21920,17279,146.63,Paid
354,348,19442,6922,311.97,Pending
355,360,19675,27089,400.78,Paid
356,120,2079,21347,785.85,Pending
357,179,17068,3784,220.18,Paid
358,170,12267,2309,529.18,Paid
359,333,14342,19647,773.35,Pending
360,153,7345,6533,755.34,Pending
361,224,20828,23265,648.63,Paid
362,84,29903,20169,387.95,Pending
363,235,18035,812,939.6,Paid
364,101,2207,29628,508.25,Pending
365,290,29859,4541,955.45,Paid
366,351,15455,28018,870.65,Pending
367,261,21187,3753,458.7,Pending
368,13,28249,18026,715.81,Paid
369,297,8428,14150,282.33,Pending
370,100,14413,7067,706.94,Pending
371,5,17355,1476,919.46,Pending
372,131,14522,26882,945.63,Pending
373,19,1482,26704,515.93,Pending
374,29,26354,23241,393.12,Paid
375,57,26626,16842,571.26,Pending
376,272,4447,21904,900.61,Paid
377,33,12891,1920,159.51,Pending
378,32,23102,21513,298.98,Pending
379,87,11008,19850,606.77,Paid
380,7,15560,2054,600.41,Paid
381,249,19332,28352,766.82,Pending
382,187,22331,12447,298.43,Pending
383,7,10481,17787,220.43,Pending
384,274,28645,21678,199.36,Paid
385,336,29583,17554,607.0,Pending
386,287,20264,2008,960.11,Paid
387,200,7131,23481,208.74,Pending
388,269,16628,24670,588.7,Paid
389,166,24419,4849,939.52,Pending
390,112,18802,16034,518.3,Paid
391,270,2209,16125,726.1,Paid
392,63,7587,28492,289.42,Paid
393,43,1930,2803,393.24,Pending
394,360,159,7169,817.81,Pending
395,76,2983,22057,791.28,Paid
396,148,5005,24765,933.34,Pending
397,347,16127,15302,889.33,Paid
398,234,20053,11364,696.86,Pending
399,233,7140,1427,199.34,Pending
400,150,14323,368,692.69,Pending
401,334,18525,27049,864.34,Paid
402,208,27742,1813,937.19,Paid
403,124,27580,29361,396.56,Paid
404,163,16419,24800,547.74,Paid
405,97,23368,25657,517.97,Pending
406,272,20887,2582,313.3,Pending
407,328,7959,19996,668.31,Pending
408,145,29045,13906,231.25,Pending
409,257,23149,28624,894.55,Pending
410,261,5365,15948,698.81,Pending
411,303,26292,10917,536.34,Paid
412,66,4152,17116,995.14,Paid
413,236,8004,11606,302.92,Pending
414,25,3970,15438,257.98,Paid
415,85,18047,7134,431.54,Pending
416,106,23619,25849,483.51,Paid
417,51,14375,17402,285.23,Paid
418,341,10620,3574,501.3,Pending
419,4,1298,10676,638.25,Paid
420,119,17499,8321,454.01,Paid
421,16,23421,24105,283.42,Paid
422,322,25890,25247,448.13,Paid
423,104,28420,21930,586.1,Paid
424,124,24704,7480,195.96,Pending
425,303,2898,26875,557.01,Pending
426,106,28389,14353,111.04,Pending
427,45,10758,2176,558.39,Pending
428,45,29702,25285,180.5,Pending
429,174,6129,29441,446.29,Paid
430,286,10465,28769,567.01,Pending
431,271,7232,19281,218.66,Pending
432,196,11529,7551,776.49,Paid
433,352,16565,17007,883.21,Pending
434,262,23589,27061,192.24,Paid
435,34,29612,8741,775.73,Paid
436,298,22850,9710,463.21,Pending
437,280,24634,24985,239.41,Pending
438,176,22907,28506,647.44,Paid
439,242,6381,14261,810.94,Paid
440,23,27294,344,590.65,Paid
441,322,23572,15728,137.38,Pending
442,307,16016,15808,462.29,Pending
443,112,28753,20691,101.83,Pending
444,159,5107,27444,748.75,Pending
445,95,22403,11145,532.2,Paid
446,218,12431,1816,198.72,Paid
447,95,24632,13609,434.44,Pending
448,121,20048,21888,162.35,Paid
449,190,25745,15070,636.97,Paid
450,159,23830,9311,521.95,Paid
451,46,1461,1359,740.31,Pending
452,94,17739,18173,976.63,Pending
453,59,17189,22801,591.59,Paid
454,47,28794,10017,605.78,Paid
455,216,22983,7400,466.28,Pending
456,296,1097,11244,814.43,Pending
457,260,19453,19527,507.72,Paid
458,73,9331,8206,790.53,Paid
459,136,8813,2484,655.35,Paid
460,178,19993,25255,103.8,Paid
461,360,13795,19228,852.15,Paid
462,169,14177,27053,375.87,Pending
463,351,26063,11817,711.65,Paid
464,199,20748,20159,214.58,Paid
465,192,1844,26716,267.58,Paid
466,230,24716,734,760.19,Pending
467,103,4763,10034,937.84,Paid
468,245,23044,9321,251.65,Pending
469,22,17669,4604,718.05,Paid
470,60,29106,129,441.56,Pending
471,287,9177,2434,592.39,Pending
472,159,27011,8767,986.54,Paid
473,52,17270,28095,180.76,Paid
474,114,22876,24214,551.9,Paid
475,26,26974,6553,916.57,Pending
476,248,14232,12657,188.75,Pending
477,51,14864,1323,795.91,Paid
478,221,23773,28006,987.72,Paid
479,348,27215,4608,914.54,Pending
480,119,24137,10184,703.36,Pending
481,256,20851,18986,765.83,Paid
482,59,7957,23141,362.57,Paid
483,282,26203,3181,615.46,Pending
484,183,2587,5165,560.01,Paid
485,135,27482,4485,580.08,Paid
486,19,5179,22568,271.61,Paid
487,35,11936,1688,500.98,Paid
488,346,14717,4967,241.25,Paid
489,323,4658,18320,981.23,Pending
490,362,3014,17585,640.56,Pending
491,157,4577,6198,821.23,Pending
492,144,8535,20110,927.93,Paid
493,309,20297,2768,912.74,Pending
494,48,21240,22673,120.0,Paid
495,244,13269,21557,586.56,Pending
496,50,5501,22875,413.18,Paid
497,359,16162,12081,525.53,Pending
498,180,6640,16604,738.28,Paid
499,142,22455,27861,652.37,Pending
500,145,7487,28196,668.51,Pending
501,353,3839,21876,200.16,Pending
502,188,11583,8185,848.14,Pending
503,130,29344,1362,904.07,Pending
504,169,27436,2390,197.62,Paid
505,64,22672,10768,505.52,Paid
506,141,15218,22848,123.56,Pending
507,200,21660,14324,261.74,Pending
508,94,2014,20674,917.61,Paid
509,52,18534,8062,640.26,Paid
510,260,19134,15074,732.57,Paid
511,158,8136,23046,984.57,Pending
512,269,11733,19156,776.38,Pending
513,341,18649,18175,327.62,Pending
514,95,15011,28580,889.04,Paid
515,204,28938,18060,776.47,Pending
516,159,20728,16258,749.47,Paid
517,315,7591,666,310.58,Paid
518,134,10135,12470,940.28,Paid
519,352,27414,17980,646.02,Paid
520,110,19697,20527,778.03,Pending
521,346,4317,28361,870.35,Paid
522,337,28584,29822,291.68,Pending
523,340,13174,10296,552.15,Paid
524,30,24592,5758,471.85,Pending
525,364,2017,24117,669.58,Paid
526,219,7068,25929,227.98,Pending
527,275,24961,4356,642.44,Paid
528,5,4442,14645,748.76,Pending
529,116,10542,5706,934.92,Paid
530,233,14736,2955,616.59,Pending
531,244,27745,14937,133.97,Paid
532,165,23062,28199,165.18,Pending
533,98,8092,15640,566.5,Paid
534,52,6192,3540,964.15,Paid
535,70,2470,6546,826.68,Pending
536,322,2117,16704,263.29,Pending
537,60,2354,29811,442.32,Pending
538,279,1122,3243,625.69,Paid
539,318,25752,28547,433.73,Paid
540,74,21086,23994,727.83,Pending
541,223,23693,16334,915.28,Paid
542,349,7288,27365,707.12,Pending
543,268,14967,16991,161.7,Pending
544,258,6613,440,546.43,Pending
545,327,22304,13386,250.19,Pending
546,337,4670,13200,234.37,Pending
547,360,26527,13628,193.35,Pending
548,31,22714,863,380.36,Paid
549,198,3284,15165,367.76,Pending
550,20,13297,6509,841.8,Paid
551,98,19371,15451,341.3,Pending
552,289,1722,3945,263.09,Pending
553,301,10252,25182,349.76,Pending
554,297,7785,4878,233.98,Pending
555,332,15125,29862,456.96,Paid
556,46,24912,9451,564.23,Paid
557,108,551,12557,570.97,Pending
558,215,16398,21237,119.28,Pending
559,296,18061,25638,320.1,Pending
560,233,5733,8970,904.44,Paid
561,292,4667,23048,722.02,Paid
562,94,9966,17089,383.19,Pending
563,172,26635,25500,180.54,Pending
564,158,8352,14131,824.68,Paid
565,296,14826,10385,165.45,Pending
566,292,5676,17646,800.59,Pending
567,165,2538,12566,604.3,Paid
568,157,6459,23454,975.93,Pending
569,301,19069,9427,104.09,Pending
570,122,6118,22751,592.5,Paid
571,283,16176,5688,708.75,Paid
572,225,16432,717,176.98,Pending
573,109,22544,2526,742.55,Paid
574,347,15712,24378,331.01,Paid
575,98,12530,17127,233.3,Paid
576,151,5800,9890,319.64,Pending
577,145,2634,6299,285.33,Paid
578,106,761,862,552.92,Pending
579,195,8072,17498,747.97,Paid
580,181,16130,4054,311.06,Pending
581,42,17575,5190,669.39,Paid
582,17,17689,9065,763.72,Paid
583,221,5345,26320,436.07,Paid
584,112,24274,8324,806.95,Pending
585,91,16219,10592,628.48,Paid
586,202,504,22954,622.86,Paid
587,301,25300,23697,856.22,Paid
588,54,25518,22029,635.51,Paid
589,55,12943,18187,776.48,Pending
590,29,14391,26692,145.56,Pending
591,113,9419,10871,137.35,Paid
592,349,9580,7307,174.22,Pending
593,226,7814,22228,491.06,Pending
594,134,3499,26387,600.32,Pending
595,332,10067,28905,887.02,Paid
596,318,15248,23704,793.49,Paid
597,247,7357,12429,992.27,Pending
598,114,4854,27803,603.63,Pending
599,68,21242,535,978.32,Pending
600,87,22074,27214,864.63,Paid
601,130,15922,11193,745.82,Paid
602,242,16584,27421,787.75,Pending
603,251,26741,12663,900.8,Paid
604,218,13983,20744,869.8,Pending
605,120,13245,24359,418.08,Paid
606,72,16002,5070,948.5,Paid
607,341,10451,5364,300.1,Pending
608,64,7496,29926,559.61,Paid
609,251,22181,5252,254.99,Pending
610,279,16193,18073,740.4,Paid
611,304,5877,13966,990.58,Pending
612,128,552,3482,144.83,Paid
613,252,28623,24622,492.98,Pending
614,233,25779,18329,641.68,Pending
615,331,2308,2501,112.01,Paid
616,92,10376,13305,548.8,Pending
617,26,21662,24145,553.37,Paid
618,306,11355,18459,617.01,Paid
619,25,19761,10776,317.39,Pending
620,128,4779,23699,150.51,Pending
621,354,7066,21437,872.02,Paid
622,148,5473,11118,827.74,Paid
623,335,28578,27086,492.62,Paid
624,115,3030,9333,893.7,Pending
625,42,19503,2969,233.8,Paid
626,253,8744,5991,706.04,Paid
