transaction_id,customer_id,txn_date_id,channel_id,account_id,txn_type_id,location_id,currency_id,loan_id,investment_type_id,txn_amount,txn_status
1,14507,73,4,14361,1,5344,7,,,426.32,Pending
2,19262,324,1,5985,6,13959,7,,1.0,41.46,Failed
3,28826,225,4,5864,8,292,2,,,26.47,Pending
4,14356,85,2,13317,4,19392,6,10913.0,5.0,127.95,Failed
5,9127,96,2,14040,5,22148,6,5249.0,,92.74,Pending
6,13008,359,5,658,2,1788,10,,,62.95,Completed
7,10142,151,4,19219,7,711,7,,,70.21,Completed
8,24656,347,3,8901,1,6476,9,,,203.31,Pending
9,23337,173,4,13766,3,7426,5,,4.0,90.27,Failed
10,10051,114,3,20940,8,24510,10,10199.0,1.0,135.33,Completed
11,26139,327,3,3480,2,5399,5,4510.0,13.0,188.91,Completed
12,19251,24,5,18453,2,4951,3,,,70.11,Pending
13,2240,59,4,23205,9,18444,2,18891.0,,157.74,Failed
14,16193,185,5,3222,2,4483,1,,,64.08,Completed
15,14285,220,5,6998,8,1304,10,4949.0,14.0,122.25,Completed
16,12443,82,4,4654,9,22109,1,19816.0,5.0,25.71,Failed
17,4174,219,2,9495,6,18895,2,12839.0,14.0,175.93,Failed
18,25717,364,2,4199,10,6813,9,10269.0,7.0,141.59,Pending
19,25243,301,5,6023,7,12285,3,,10.0,37.68,Failed
20,14205,254,4,1797,8,21005,2,,15.0,180.58,Completed
21,23238,363,4,11990,4,2692,4,,,84.15,Pending
22,4026,254,5,25020,6,12886,6,,,78.65,Failed
23,14058,242,5,3186,6,26313,7,,13.0,138.19,Pending
24,17874,172,5,8928,5,22052,9,3555.0,14.0,110.31,Completed
25,3186,315,1,5327,2,17257,9,,,174.54,Completed
26,23589,254,3,29757,2,4041,4,,,126.5,Pending
27,17660,238,2,6733,2,15908,8,,3.0,163.06,Completed
28,15600,8,3,16219,10,8662,2,,11.0,122.04,Pending
29,17611,347,3,5898,1,12521,7,25431.0,,451.81,Completed
30,5375,258,5,11803,2,5255,3,,1.0,34.64,Pending
31,11322,253,1,3337,1,14087,4,,7.0,273.99,Completed
32,13669,277,4,19893,3,8526,8,,,94.86,Failed
33,20380,40,1,19921,8,15271,8,,6.0,92.94,Pending
34,15963,356,2,3482,9,26358,6,26694.0,,77.72,Failed
35,8770,311,4,3751,6,26883,8,,,69.04,Pending
36,24064,37,4,28740,6,23951,3,,13.0,178.38,Pending
37,4858,40,5,24400,8,9821,5,21671.0,,178.39,Pending
38,29834,251,4,20569,9,17618,2,15546.0,,126.34,Failed
39,1217,107,1,20424,3,7722,1,,,33.73,Failed
40,3065,126,3,25474,3,22847,2,,1.0,41.5,Pending
41,22973,147,5,17802,4,27214,4,17532.0,,162.79,Completed
42,4742,120,2,10010,7,26573,5,5012.0,,115.63,Completed
43,11351,192,2,3147,8,12507,4,13279.0,14.0,168.58,Pending
44,15244,109,4,8241,3,23298,9,,2.0,106.94,Failed
45,21454,144,4,1021,1,19574,10,5759.0,,435.8,Pending
46,25153,133,3,643,4,12056,10,,,131.31,Completed
47,7577,324,3,23733,6,9684,1,,,35.91,Pending
48,19679,147,3,16689,1,19436,9,,,243.88,Completed
49,4258,16,1,9292,5,8523,8,,,48.92,Failed
50,27906,166,4,6701,4,23569,5,16025.0,,154.68,Pending
51,27748,46,5,23717,3,8232,2,,,30.13,Pending
52,24024,177,3,19953,10,28648,5,24328.0,15.0,145.19,Failed
53,21336,139,4,17002,1,28781,3,,9.0,470.71,Pending
54,21249,196,1,26479,8,11574,4,23353.0,5.0,70.87,Failed
55,5548,142,1,17655,5,13109,5,,11.0,185.73,Completed
56,12516,320,5,23108,7,4284,8,,,165.63,Pending
57,2106,325,5,9820,3,23355,4,,,70.03,Pending
58,18303,303,2,23560,10,269,9,14680.0,8.0,176.75,Completed
59,25025,89,1,24065,1,12046,5,,14.0,118.6,Completed
60,14839,355,4,18773,4,5801,3,,,157.39,Failed
61,16674,182,1,12716,8,20775,7,,,48.89,Failed
62,21168,335,2,19754,3,20054,9,2899.0,5.0,150.65,Pending
63,26938,50,5,12349,2,20320,7,,,175.48,Failed
64,3105,64,5,25391,4,19692,6,,1.0,138.0,Failed
65,15938,103,2,15679,5,4113,2,5791.0,13.0,25.45,Completed
66,13749,234,5,8817,1,5991,8,,,261.65,Failed
67,19519,312,5,29544,4,5035,10,6549.0,,84.23,Completed
68,26486,1,1,8477,10,16926,10,,8.0,192.63,Failed
69,18256,265,4,3965,8,13439,10,,,38.71,Pending
70,27492,318,1,994,4,12969,3,,,81.53,Completed
71,16944,68,5,15335,3,17403,4,,12.0,160.35,Pending
72,8963,126,5,16721,2,20603,10,13891.0,9.0,178.81,Pending
73,8342,279,3,13022,4,1163,2,27174.0,,44.27,Completed
74,1139,68,4,3162,2,21009,6,,1.0,146.74,Failed
75,10821,304,3,2651,5,1902,5,,14.0,15.24,Completed
76,23364,224,1,4022,9,5441,6,,,119.69,Failed
77,27133,83,1,18957,9,24923,1,,5.0,108.81,Failed
78,24558,236,3,12461,6,22139,9,11072.0,6.0,36.05,Failed
79,23077,257,2,3301,3,9420,10,18.0,3.0,76.18,Completed
80,28617,52,4,15557,9,9195,1,,10.0,85.14,Pending
81,4222,155,2,7816,7,13213,9,,9.0,78.72,Failed
82,16159,342,1,18467,1,7052,3,,5.0,480.92,Pending
83,13630,182,4,6463,1,28714,4,,8.0,376.49,Pending
84,28332,264,2,7796,5,17337,5,,,177.68,Failed
85,17242,306,2,23119,6,15803,3,11682.0,,98.5,Failed
86,29493,288,4,13126,6,11967,9,19432.0,,94.3,Pending
87,1542,258,4,14575,3,27330,4,,,44.62,Completed
88,27415,359,1,24852,9,3902,5,,,49.34,Pending
89,4957,117,5,26663,6,1627,7,,13.0,124.33,Completed
90,8019,83,4,27500,4,18775,9,,7.0,68.73,Pending
91,16882,238,2,301,6,10618,7,28842.0,,109.91,Pending
92,8136,262,2,28350,5,21511,9,12916.0,12.0,27.59,Failed
93,13556,222,5,20397,2,27577,1,,4.0,100.42,Failed
94,25918,71,1,10238,2,5877,6,,,183.81,Failed
95,13830,81,3,10291,8,27906,2,22153.0,14.0,69.05,Pending
96,24299,87,1,13492,7,20129,8,,,118.89,Failed
97,15696,290,3,20835,7,27713,8,26493.0,5.0,36.0,Pending
98,8604,276,5,22650,9,11865,5,,,40.59,Completed
99,29497,166,1,10016,4,800,9,,14.0,111.42,Completed
100,7643,187,1,6381,1,698,10,,2.0,170.68,Completed
101,24627,321,2,3186,9,6350,4,,,23.53,Completed
102,28028,302,3,139,5,29614,4,26585.0,,72.13,Pending
103,7844,66,2,11290,1,13924,10,18112.0,,478.62,Pending
104,19781,38,4,13129,2,26739,1,24416.0,,12.6,Failed
105,20535,75,2,2251,8,28723,7,,4.0,135.3,Failed
106,12327,88,4,28986,5,4756,5,,,123.07,Completed
107,912,157,3,29012,4,28809,4,19651.0,14.0,130.39,Completed
108,9344,38,4,25838,3,21413,4,,,142.56,Failed
109,9323,201,1,22359,2,7247,5,24481.0,5.0,144.56,Pending
110,6850,139,4,24247,6,22679,4,27302.0,,37.62,Pending
111,13507,328,5,1707,8,16269,3,,8.0,29.83,Failed
112,13994,62,3,21231,1,27925,4,,13.0,360.23,Completed
113,7966,303,1,8384,5,14260,1,20908.0,,52.43,Pending
114,21720,211,2,14929,9,29637,2,8296.0,3.0,139.91,Completed
115,29595,197,4,5651,9,17237,5,12901.0,9.0,68.57,Pending
116,3981,140,3,10787,8,22200,6,18772.0,1.0,46.1,Failed
117,9638,174,3,8012,5,17951,4,1967.0,4.0,136.05,Failed
118,973,136,1,1807,3,23735,1,,,98.76,Completed
119,627,180,4,11020,2,2896,8,,,113.15,Pending
120,16629,80,1,2544,2,15155,1,10678.0,,120.26,Completed
121,2574,44,4,29478,6,110,10,,8.0,91.16,Completed
122,9531,295,3,29231,5,29128,4,,5.0,103.35,Failed
123,29112,13,4,6278,6,20046,1,,10.0,114.57,Pending
124,19811,173,3,8789,2,12998,2,,4.0,27.84,Completed
125,11431,13,2,21363,2,12172,1,,10.0,13.13,Pending
126,18731,202,2,6990,8,10683,5,,14.0,193.25,Pending
127,15836,159,3,9184,1,27963,2,,,110.0,Failed
128,1795,163,2,18536,9,18493,8,,9.0,89.46,Pending
129,28099,86,3,26897,7,9167,10,,,145.62,Completed
130,15306,267,5,28311,7,7239,7,24596.0,8.0,75.91,Failed
131,15589,300,4,25440,10,11300,1,17588.0,,54.48,Completed
132,23398,77,1,2226,4,20127,10,21931.0,5.0,145.12,Failed
133,25737,176,5,16831,9,18895,3,2682.0,,98.7,Completed
134,18660,66,3,24113,4,26725,10,,6.0,37.16,Failed
135,523,134,3,26425,8,15864,2,,,28.41,Pending
136,24414,198,5,21041,10,26590,7,5791.0,7.0,164.37,Completed
137,9960,350,4,15056,5,3913,3,,4.0,62.66,Pending
138,11015,123,1,8359,7,19427,4,,9.0,112.1,Failed
139,7333,145,3,15021,2,23978,1,,,150.1,Failed
140,12734,71,5,9369,9,13603,3,,13.0,120.93,Failed
141,28112,18,1,25044,2,26656,4,,7.0,78.03,Failed
142,28331,59,2,26525,3,3972,9,,,120.05,Pending
143,703,228,2,19025,10,24543,8,8293.0,,182.47,Completed
144,27928,306,5,21567,8,26786,10,,,150.22,Pending
145,9568,158,4,454,9,28085,4,,13.0,113.81,Failed
146,14246,122,2,20950,6,24441,1,23925.0,5.0,174.99,Pending
147,18224,238,5,7498,6,11956,9,23911.0,7.0,193.53,Failed
148,28972,26,5,2968,6,21563,3,4278.0,,88.69,Pending
149,14572,248,5,14467,6,10697,10,,4.0,186.74,Pending
150,28315,344,2,11962,2,12933,5,20354.0,2.0,103.39,Failed
151,5405,153,2,4647,2,29270,6,27934.0,8.0,67.54,Completed
152,26167,59,4,22104,6,29359,6,,6.0,50.83,Completed
153,25681,82,1,13372,5,14756,8,,9.0,187.59,Completed
154,21933,124,1,18602,7,6383,5,22131.0,15.0,113.59,Pending
155,20301,128,3,27307,9,29230,8,,,43.38,Completed
156,14136,178,5,21748,10,9011,2,,,47.01,Completed
157,27745,92,4,15956,5,8970,10,,,190.96,Failed
158,20967,361,3,20533,8,13426,6,,,60.29,Pending
159,19053,84,3,16344,4,14069,2,13708.0,5.0,190.07,Pending
160,4052,16,1,24785,2,4374,9,,,118.37,Completed
161,639,108,5,15496,1,26595,6,7766.0,15.0,223.03,Completed
162,8379,91,5,5787,8,14191,10,,,129.14,Failed
163,20478,281,3,15778,6,22856,3,,,24.8,Failed
164,10723,249,3,4763,3,21444,5,21343.0,13.0,123.38,Failed
165,18009,166,5,29366,9,1904,3,,4.0,150.32,Completed
166,19007,199,5,7534,3,24215,8,4825.0,,148.92,Pending
167,8398,1,5,17462,8,13068,8,,,137.97,Failed
168,600,335,4,20881,2,18454,4,21678.0,,171.53,Pending
169,22831,143,2,11639,7,18043,1,10713.0,7.0,78.66,Failed
170,10928,232,2,19631,10,2276,8,20536.0,,133.78,Pending
171,3276,133,5,8078,10,18644,8,22608.0,4.0,137.95,Pending
172,25490,192,2,21702,10,18958,4,17769.0,7.0,116.87,Failed
173,3375,191,3,13947,9,28273,3,,14.0,27.14,Pending
174,20974,83,4,24347,7,22736,9,22614.0,,76.3,Completed
175,28215,125,2,18878,7,4571,3,,,180.07,Pending
176,5084,171,2,1865,10,17863,2,,,128.09,Pending
177,24987,308,4,13074,10,18538,3,,2.0,40.85,Failed
178,23569,95,4,19945,7,8706,5,25136.0,,103.19,Completed
179,14591,291,5,29222,10,26948,2,140.0,,133.33,Failed
180,6251,223,3,28418,9,4537,4,,14.0,115.93,Completed
181,24734,69,2,6245,1,20311,8,9057.0,9.0,115.38,Completed
182,5949,94,3,22970,9,22649,8,25025.0,,118.95,Failed
183,9240,286,5,10028,1,28039,10,,7.0,141.52,Completed
184,5313,304,3,29944,7,12772,4,,9.0,141.8,Failed
185,8190,187,2,20652,5,24923,7,,12.0,68.67,Failed
186,19396,66,4,26512,1,1130,3,14710.0,,162.13,Failed
187,10598,266,4,19916,8,27609,1,,,126.2,Pending
188,27800,192,4,4099,8,17567,10,,12.0,129.23,Pending
189,27052,230,3,9318,8,5990,8,23804.0,,52.93,Completed
190,19662,215,2,26313,3,11056,4,9564.0,4.0,83.96,Completed
191,472,19,4,29343,1,8875,3,418.0,5.0,220.12,Completed
